SWB_1_1,SWB_2_1,PANAS_1,PANAS_2,PANAS_3,PANAS_4,PANAS_5,POS_1,POS_2,POS_3,POS_4,POS_5,Network_1,Network_2,Network_3,Network_4,Network_5,Network_6,Network_7,Network_8,Network_9,SEC_1,SEC_2,SEC_3,SEC_4,SEC_5,SEC_6,SEC_7,SEC_8,CIVIC_1,CIVIC_2,CIVIC_3
2,2,3,4,4,5,3,3,3,5,2,1,3,4,4,4,3,2,4,3,3,40,91,16,1,90,81,82,82,4,3,4
3,4,4,4,2,5,3,4,2,4,2,4,5,4,5,3,4,5,4,3,3,,,,,,,,,4,4,4
4,4,3,3,3,4,4,3,3,3,4,4,4,3,4,4,3,3,5,3,4,,,,,,,,,3,3,3
4,4,3,3,2,4,4,4,4,2,3,4,4,5,5,5,4,3,3,3,3,,,,,,,,,3,3,3
2,2,3,4,4,5,3,4,2,3,3,3,4,4,5,3,3,4,3,3,3,79,92,77,48,85,88,71,71,3,3,4
5,4,5,2,1,3,4,4,4,1,3,4,5,5,4,5,3,5,1,5,5,81,83,51,22,100,55,100,73,4,4,4
4,3,3,3,2,5,4,5,4,1,4,3,5,5,5,5,4,4,3,4,4,81,72,90,100,83,82,95,95,3,3,3
5,3,4,3,1,4,4,5,4,1,4,4,5,5,4,3,5,5,2,4,4,80,60,70,10,81,94,95,74,3,3,3
3,3,3,4,3,5,2,4,3,3,3,3,4,4,3,3,4,4,2,4,4,,,,,,,,,4,3,4
4,3,4,3,3,5,4,3,2,2,3,4,4,4,2,3,4,2,5,3,3,90,90,75,20,60,65,91,75,3,3,3
3,3,2,4,3,4,3,2,1,3,3,3,2,4,2,4,4,4,5,1,2,,,,,,,,,3,3,4
4,3,4,3,2,4,4,4,4,2,4,4,4,4,4,3,4,4,3,4,4,68,61,66,72,65,81,78,76,3,4,3
4,2,3,4,3,5,4,4,2,3,3,3,2,4,4,4,4,3,2,4,4,78,100,45,82,100,64,86,39,4,3,4
4,4,4,2,1,4,5,5,5,2,5,5,5,5,4,5,4,4,1,4,4,,,,,,,,,3,3,3
5,5,4,3,2,4,4,4,2,2,3,5,4,4,4,4,2,5,4,4,5,,,,,,,,,4,4,4
4,4,4,3,3,4,3,4,2,2,3,4,5,5,5,5,4,5,2,5,5,,,,,,,,,4,4,4
4,2,3,3,1,5,4,4,2,5,4,4,4,4,3,3,4,4,4,4,4,,,,,,,,,4,4,3
5,4,4,2,1,4,5,5,4,1,4,5,5,5,4,5,5,5,2,5,5,,,,,,,,,3,4,4
